Year,nodes,edges,average_degree,average_clustering,diameter,average_distance,highest_degree_centrality_pid,highest_degree_centrality_value,highest_eigen_centrality_pid,highest_eigen_centrality_value,highest_closeness_centrality_pid,highest_closeness_centrality_value,highest_betweenness_centrality_pid,highest_betweenness_centrality_value,nodes_diff_1,edges_diff_1,average_degree_diff_1,average_clustering_diff_1
2021,79,228,2.8860759493670884,0.29503934883681704,6,2.759493670886076,l/BuSungLee,0.2692307692307692,m/ChunyanMiao,0.35418536676278856,l/BuSungLee,0.5,l/BuSungLee,0.14918889772181398,0.0,2.0,0.025316455696202222,0.02299578059071722
2020,79,226,2.8607594936708862,0.2720435682460998,6,2.7877312560856864,l/BuSungLee,0.2692307692307692,m/ChunyanMiao,0.35527135386298636,l/BuSungLee,0.4968152866242038,l/BuSungLee,0.1501188896186616,4.0,13.0,0.020759493670886364,-0.028727582630314052
2019,75,213,2.84,0.3007711508764139,6,2.7715315315315316,l/BuSungLee,0.28378378378378377,l/BuSungLee,0.34613095216857204,l/BuSungLee,0.5068493150684932,l/BuSungLee,0.16947791267305568,3.0,24.0,0.21499999999999986,0.03305668941195239
2018,72,189,2.625,0.2677144614644615,6,2.8419405320813773,l/BuSungLee,0.29577464788732394,l/BuSungLee,0.36777545581535087,l/BuSungLee,0.5144927536231884,l/BuSungLee,0.1972181513861003,9.0,25.0,0.021825396825396748,0.013800675499960446
2017,63,164,2.6031746031746033,0.25391378596450104,6,2.847926267281106,l/BuSungLee,0.3225806451612903,l/BuSungLee,0.3769180604484445,l/BuSungLee,0.512396694214876,l/BuSungLee,0.20452499478069522,6.0,21.0,0.09440267335004204,-0.016276985611312134
2016,57,143,2.508771929824561,0.27019077157581317,6,2.8289473684210527,l/BuSungLee,0.3571428571428571,l/BuSungLee,0.41727958586374037,l/BuSungLee,0.5333333333333333,l/BuSungLee,0.2715684922656898,2.0,8.0,0.05422647527910662,-0.007853756995031214
2015,55,135,2.4545454545454546,0.2780445285708444,6,2.8195286195286196,l/BuSungLee,0.37037037037037035,l/BuSungLee,0.42958403560186625,l/BuSungLee,0.54,l/BuSungLee,0.2982451080706105,0.0,2.0,0.0363636363636366,-0.0029437229437229706
2014,55,133,2.418181818181818,0.28098825151456736,6,2.834343434343434,l/BuSungLee,0.37037037037037035,l/BuSungLee,0.43065773501177235,l/BuSungLee,0.54,l/BuSungLee,0.3048742291219784,1.0,12.0,0.17744107744107707,0.00022763785921681157
2013,54,121,2.240740740740741,0.28076061365535054,6,2.9301187980433263,l/BuSungLee,0.3773584905660377,l/BuSungLee,0.4607340318843008,l/BuSungLee,0.5408163265306123,l/BuSungLee,0.38216857904704743,5.0,12.0,0.016250944822373548,-0.03588466373106547
2012,49,109,2.2244897959183674,0.316645277386416,6,2.9489795918367347,l/BuSungLee,0.3958333333333333,l/BuSungLee,0.4631800783972445,l/BuSungLee,0.5333333333333333,l/BuSungLee,0.3800046707626495,1.0,9.0,0.1411564625850339,-0.036973809137082425
2011,48,100,2.0833333333333335,0.35361908652349844,6,3.049645390070922,l/BuSungLee,0.36170212765957444,l/BuSungLee,0.4595529350370466,l/BuSungLee,0.5108695652173914,l/BuSungLee,0.3353464553742075,5.0,12.0,0.036821705426356655,-0.04996157054553074
2010,43,88,2.046511627906977,0.4035806570690292,6,3.036544850498339,l/BuSungLee,0.38095238095238093,l/BuSungLee,0.47710430303948576,l/BuSungLee,0.525,l/BuSungLee,0.3905250447062293,0.0,11.0,0.2558139534883721,0.04599483204134369
2009,43,77,1.7906976744186047,0.3575858250276855,7,3.3001107419712072,l/BuSungLee,0.3571428571428571,l/BuSungLee,0.5109257773222602,l/BuSungLee,0.4883720930232558,l/BuSungLee,0.483311210663127,1.0,9.0,0.17165005537098565,0.04070548314734357
2008,42,68,1.619047619047619,0.3168803418803419,8,3.6132404181184667,l/BuSungLee,0.3170731707317073,l/BuSungLee,0.5193566632433319,l/BuSungLee,0.44565217391304346,l/BuSungLee,0.5127235772357722,6.0,11.0,0.03571428571428581,-0.07514245014245013
2007,36,57,1.5833333333333333,0.39202279202279205,7,3.3857142857142857,l/BuSungLee,0.37142857142857144,l/BuSungLee,0.5319326674334939,l/BuSungLee,0.4794520547945205,l/BuSungLee,0.6066666666666668,13.0,18.0,-0.1123188405797102,-0.17174532391923697
2006,23,39,1.6956521739130435,0.563768115942029,5,2.505928853754941,l/BuSungLee,0.5909090909090909,l/BuSungLee,0.5614548429631073,l/BuSungLee,0.6875,l/BuSungLee,0.7373737373737375,5.0,12.0,0.19565217391304346,0.10265700483091789
2005,18,27,1.5,0.46111111111111114,6,2.5620915032679736,l/BuSungLee,0.5882352941176471,l/BuSungLee,0.5528738304425891,l/BuSungLee,0.6296296296296297,l/BuSungLee,0.5894607843137255,1.0,2.0,0.02941176470588225,0.020588235294117685
2004,17,25,1.4705882352941178,0.44052287581699345,6,2.573529411764706,l/BuSungLee,0.5625,l/BuSungLee,0.5495404285696891,l/BuSungLee,0.6153846153846154,l/BuSungLee,0.5791666666666666,4.0,8.0,0.16289592760181004,0.1606693959635136
2003,13,17,1.3076923076923077,0.27985347985347986,4,2.2948717948717947,l/BuSungLee,0.5833333333333333,l/BuSungLee,0.5366665147386076,l/BuSungLee,0.7058823529411765,l/BuSungLee,0.6818181818181819,2.0,2.0,-0.055944055944055826,-0.11148851148851147
2002,11,15,1.3636363636363635,0.3913419913419913,4,2.0727272727272728,l/BuSungLee,0.7000000000000001,l/BuSungLee,0.5389883551633974,l/BuSungLee,0.7692307692307693,l/BuSungLee,0.6777777777777778,1.0,1.0,-0.036363636363636376,-0.0658008658008658
2001,10,14,1.4,0.45714285714285713,3,1.9555555555555555,l/BuSungLee,0.7777777777777777,l/BuSungLee,0.5499065210715717,l/BuSungLee,0.8181818181818182,l/BuSungLee,0.7222222222222222,0.0,2.0,0.19999999999999996,0.13714285714285718
2000,10,12,1.2,0.31999999999999995,4,2.111111111111111,l/BuSungLee,0.6666666666666666,l/BuSungLee,0.5779356440940437,l/BuSungLee,0.75,l/BuSungLee,0.7083333333333333,,,,
